month,day,hour,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5
1,7,16,-18,-8,1032,2,26.38,0,0,57
1,7,17,-19,-9,1032,2,28.17,0,0,50
1,7,18,-19,-11,1032,3,0.89,0,0,54
1,7,19,-18,-11,1033,2,1.79,0,0,67
1,7,20,-19,-15,1032,3,1.79,0,0,106
1,7,21,-19,-14,1032,1,0.45,0,0,159
1,7,22,-21,-14,1032,1,1.34,0,0,198
1,7,23,-21,-16,1032,1,2.23,0,0,190
1,8,0,-21,-17,1031,2,1.79,0,0,210
1,8,1,-19,-16,1031,2,3.58,0,0,195
1,8,2,-20,-16,1031,3,0.89,0,0,275
1,8,3,-19,-15,1030,0,0.89,0,0,164
1,8,4,-18,-15,1030,1,0.45,0,0,110
1,8,5,-18,-15,1029,1,1.34,0,0,100
1,8,6,-18,-15,1029,2,1.79,0,0,81
1,8,7,-16,-13,1029,3,0.89,0,0,71
1,8,8,-16,-12,1029,0,0.89,0,0,66
1,8,9,-16,-12,1030,0,1.78,0,0,92
1,8,10,-17,-10,1030,3,0.89,0,0,135
1,8,11,-16,-10,1029,1,0.89,0,0,155
1,8,12,-16,-9,1028,0,3.13,0,0,198
1,8,13,-15,-8,1026,0,4.92,0,0,250
1,8,14,-16,-8,1026,1,0.89,0,0,200
1,8,15,-16,-8,1025,1,1.78,0,0,231
1,8,16,-16,-8,1025,1,2.67,0,0,250
1,8,17,-17,-8,1025,0,0.89,0,0,212
1,8,18,-17,-9,1026,1,0.45,0,0,219
1,8,19,-17,-11,1026,1,1.34,0,0,227
1,8,20,-17,-12,1026,1,1.79,0,0,226
1,8,21,-18,-14,1027,2,1.79,0,0,225
1,8,22,-16,-9,1027,2,4.92,0,0,168
1,8,23,-16,-11,1027,2,6.71,0,0,169
1,9,0,-17,-13,1027,1,0.89,0,0,165
1,9,1,-17,-13,1027,2,3.13,0,0,159
1,9,2,-17,-14,1027,2,4.92,0,0,167
1,9,3,-17,-15,1027,2,8.05,0,0,196
1,9,4,-17,-13,1027,2,9.84,0,0,169
1,9,5,-19,-16,1027,2,13.86,0,0,155
1,9,6,-18,-15,1027,2,17.88,0,0,119
1,9,7,-19,-15,1027,2,21.9,0,0,106
1,9,8,-18,-14,1028,2,25.92,0,0,93
1,9,9,-18,-9,1029,3,5.81,0,0,84
1,9,10,-17,-7,1029,3,11.62,0,0,73
1,9,11,-17,-6,1030,3,17.43,0,0,66
1,9,12,-16,-6,1029,3,23.24,0,0,40
1,9,13,-16,-5,1029,3,28.16,0,0,49
1,9,14,-15,-4,1029,3,33.08,0,0,50
1,9,15,-14,-4,1028,3,37.1,0,0,49
1,9,16,-15,-4,1029,3,38.89,0,0,41
1,9,17,-15,-4,1030,2,1.79,0,0,37
1,9,18,-15,-7,1030,3,3.13,0,0,45
1,9,19,-15,-6,1031,2,3.13,0,0,44
1,9,20,-15,-7,1032,2,4.92,0,0,54
1,9,21,-15,-6,1032,3,3.13,0,0,50
1,9,22,-15,-8,1033,1,0.45,0,0,47
1,9,23,-15,-8,1033,1,0.9,0,0,66
1,10,0,-15,-11,1033,2,0.89,0,0,75
1,10,1,-17,-13,1033,2,1.78,0,0,82
1,10,2,-17,-12,1033,2,4.91,0,0,66
1,10,3,-17,-13,1033,2,8.04,0,0,83
1,10,4,-19,-14,1032,2,9.83,0,0,62
1,10,5,-18,-13,1032,2,12.96,0,0,40
1,10,6,-19,-13,1032,2,16.09,0,0,23
1,10,7,-19,-14,1033,2,19.22,0,0,25
1,10,8,-19,-14,1034,2,22.35,0,0,27
1,10,9,-17,-12,1033,2,24.14,0,0,35
1,10,10,-16,-7,1033,3,4.02,0,0,50
1,10,11,-15,-7,1033,2,3.13,0,0,70
1,10,12,-15,-7,1032,2,6.26,0,0,75
1,10,13,-14,-6,1031,2,9.39,0,0,58
1,10,14,-14,-6,1031,2,12.52,0,0,70
1,10,15,-13,-5,1030,2,14.31,0,0,68
1,10,16,-14,-5,1031,2,16.1,0,0,71
1,10,17,-14,-6,1031,2,19.23,0,0,88
1,10,18,-13,-7,1032,2,23.25,0,0,84
1,10,19,-15,-6,1032,2,27.27,0,0,83
1,10,20,-15,-6,1033,2,30.4,0,0,66
1,10,21,-15,-4,1034,2,35.32,0,0,27
1,10,22,-16,-4,1034,2,44.26,0,0,24
1,10,23,-17,-5,1035,2,52.31,0,0,22
1,11,0,-17,-6,1035,2,60.36,0,0,23
1,11,1,-17,-8,1035,1,0.89,0,0,27
1,11,2,-19,-11,1036,2,4.02,0,0,23
1,11,3,-20,-11,1036,2,8.94,0,0,17
1,11,4,-21,-11,1035,3,4.02,0,0,17
1,11,5,-22,-12,1035,2,3.13,0,0,16
1,11,6,-22,-12,1035,3,4.92,0,0,16
1,11,7,-22,-13,1036,2,5.81,0,0,20
1,11,8,-22,-9,1036,2,13.86,0,0,20
1,11,9,-22,-10,1036,2,21.91,0,0,18
1,11,10,-22,-9,1036,2,29.06,0,0,25
1,11,11,-21,-9,1036,2,33.08,0,0,26
1,11,12,-20,-6,1035,2,42.02,0,0,27
1,11,13,-19,-5,1034,2,50.96,0,0,28
1,11,14,-19,-5,1033,2,59.01,0,0,15
1,11,15,-20,-5,1033,2,66.16,0,0,24
1,11,16,-20,-5,1032,2,71.97,0,0,13
1,11,17,-20,-5,1033,2,76.89,0,0,13
1,11,18,-20,-7,1033,2,81.81,0,0,13
1,11,19,-22,-7,1033,2,85.83,0,0,17
1,11,20,-22,-8,1033,2,89.85,0,0,20
1,11,21,-23,-10,1033,2,91.64,0,0,27
1,11,22,-23,-13,1033,2,93.43,0,0,20
1,11,23,-22,-12,1032,1,0.89,0,0,15
1,12,0,-22,-15,1031,1,1.78,0,0,21
1,12,1,-22,-14,1031,3,1.79,0,0,21
1,12,2,-22,-14,1031,2,0.89,0,0,37
1,12,3,-24,-18,1030,3,1.79,0,0,26
1,12,4,-24,-13,1030,3,3.58,0,0,15
1,12,5,-25,-14,1030,2,3.13,0,0,9
1,12,6,-24,-14,1030,2,7.15,0,0,11
1,12,7,-25,-12,1030,2,12.96,0,0,11
1,12,8,-26,-14,1030,2,16.98,0,0,16
1,12,9,-25,-12,1031,2,21,0,0,13
1,12,10,-25,-11,1031,2,26.81,0,0,15
1,12,11,-24,-11,1030,2,35.75,0,0,21
1,12,12,-23,-11,1029,2,47.82,0,0,24
1,12,13,-22,-11,1029,2,63.02,0,0,22
1,12,14,-23,-11,1029,2,75.98,0,0,22
1,12,15,-22,-11,1029,2,88.05,0,0,22
1,12,16,-23,-11,1030,2,101.01,0,0,19
1,12,17,-24,-11,1030,2,109.06,0,0,23
1,12,18,-24,-11,1032,2,118,0,0,25
1,12,19,-23,-11,1032,2,126.05,0,0,25
1,12,20,-23,-12,1032,2,134.1,0,0,31
1,12,21,-24,-12,1033,2,142.15,0,0,25
1,12,22,-23,-12,1033,2,150.2,0,0,22
1,12,23,-23,-12,1034,2,160.03,0,0,22
1,13,0,-24,-12,1034,2,169.86,0,0,15
1,13,1,-24,-12,1033,2,178.8,0,0,16
1,13,2,-25,-12,1033,2,189.98,0,0,11
1,13,3,-24,-13,1033,2,198.03,0,0,11
1,13,4,-25,-12,1032,2,205.18,0,0,12
1,13,5,-25,-12,1033,2,215.01,0,0,11
1,13,6,-25,-12,1032,2,226.19,0,0,12
1,13,7,-25,-12,1032,2,235.13,0,0,27
1,13,8,-25,-12,1032,2,243.18,0,0,28
1,13,9,-23,-11,1033,2,252.12,0,0,34
1,13,10,-23,-10,1033,2,257.93,0,0,33
1,13,11,-22,-9,1033,2,263.74,0,0,36
1,13,12,-21,-8,1031,2,270.89,0,0,26
1,13,13,-21,-6,1030,2,278.94,0,0,49
1,13,14,-20,-5,1029,2,286.99,0,0,52
1,13,15,-22,-5,1028,2,294.14,0,0,47
1,13,16,-21,-5,1028,2,299.06,0,0,47
1,13,17,-19,-7,1028,0,1.79,0,0,39
1,13,18,-19,-8,1028,1,0.45,0,0,59
1,13,19,-20,-9,1028,1,1.34,0,0,76
1,13,20,-19,-10,1027,0,1.79,0,0,96
1,13,21,-19,-13,1027,1,0.89,0,0,95
1,13,22,-18,-12,1027,1,1.78,0,0,68
1,13,23,-18,-13,1027,3,0.89,0,0,65
1,14,0,-18,-14,1026,3,1.78,0,0,75
1,14,1,-20,-15,1025,3,2.67,0,0,257
1,14,2,-20,-15,1025,2,0.89,0,0,174
1,14,3,-20,-16,1025,2,1.78,0,0,164
1,14,4,-20,-16,1024,2,3.57,0,0,161
1,14,5,-21,-17,1024,2,6.7,0,0,137
1,14,6,-19,-14,1023,2,10.72,0,0,92
1,14,7,-21,-17,1023,2,13.85,0,0,64
1,14,8,-19,-15,1024,2,15.64,0,0,87
1,14,9,-19,-14,1024,2,18.77,0,0,87
1,14,10,-18,-10,1024,2,22.79,0,0,84
1,14,11,-17,-9,1023,2,24.58,0,0,95
1,14,12,-16,-6,1023,2,26.37,0,0,79
1,14,13,-17,-5,1022,2,28.16,0,0,75
1,14,14,-16,-5,1022,2,29.95,0,0,79
1,14,15,-15,-4,1022,2,33.08,0,0,86
1,14,16,-16,-4,1023,1,0.89,0,0,72
1,14,17,-15,-5,1025,0,1.79,0,0,89
1,14,18,-14,-3,1026,2,5.81,0,0,94
1,14,19,-16,-3,1027,2,11.62,0,0,69
1,14,20,-15,-4,1029,2,20.56,0,0,49
1,14,21,-16,-5,1031,2,24.58,0,0,33
1,14,22,-17,-6,1032,3,3.13,0,0,27
1,14,23,-18,-6,1033,3,8.05,0,0,20
1,15,0,-19,-7,1034,3,13.86,0,0,36
1,15,1,-17,-8,1035,2,5.81,0,0,37
1,15,2,-18,-10,1035,2,11.62,0,0,30
1,15,3,-19,-10,1036,2,14.75,0,0,18
1,15,4,-19,-9,1036,2,19.67,0,0,21
1,15,5,-19,-9,1036,3,7.15,0,0,13
1,15,6,-20,-9,1037,3,12.96,0,0,23
1,15,7,-19,-9,1037,3,18.77,0,0,26
1,15,8,-19,-8,1038,3,22.79,0,0,27
1,15,9,-19,-8,1039,3,28.6,0,0,30
1,15,10,-19,-7,1039,3,35.75,0,0,28
1,15,11,-18,-6,1039,3,41.56,0,0,26
1,15,12,-18,-5,1039,3,45.58,0,0,26
1,15,13,-17,-4,1038,2,1.79,0,0,31
1,15,14,-16,-3,1037,1,0.89,0,0,35
1,15,15,-17,-3,1037,1,1.78,0,0,36
1,15,16,-17,-2,1037,1,2.23,0,0,37
1,15,17,-15,-5,1036,0,0.89,0,0,64
1,15,18,-15,-6,1036,1,0.89,0,0,83
1,15,19,-15,-6,1037,1,1.78,0,0,91
1,15,20,-14,-6,1037,0,1.79,0,0,90
1,15,21,-14,-8,1036,0,3.58,0,0,102
1,15,22,-14,-10,1037,1,0.89,0,0,94
1,15,23,-15,-11,1036,1,1.78,0,0,87
1,16,0,-15,-11,1036,1,2.67,0,0,141
1,16,1,-16,-13,1036,3,0.89,0,0,211
1,16,2,-16,-12,1036,1,0.89,0,0,242
1,16,3,-16,-13,1035,3,0.89,0,0,271
1,16,4,-15,-12,1035,3,1.78,0,0,249
1,16,5,-14,-10,1034,2,1.79,0,0,200
1,16,6,-15,-10,1034,2,2.68,0,0,147
1,16,7,-15,-11,1034,2,4.47,0,0,114
1,16,8,-15,-11,1034,2,6.26,0,0,102
1,16,9,-14,-9,1034,2,8.05,0,0,108
1,16,10,-14,-9,1034,2,9.84,0,0,135
1,16,11,-13,-6,1034,1,0.89,0,0,120
1,16,12,-13,-5,1033,2,1.79,0,0,148
1,16,13,-12,-4,1031,1,0.89,0,0,127
1,16,14,-12,-3,1031,1,1.78,0,0,128
1,16,15,-12,-3,1030,1,2.67,0,0,140
1,16,16,-11,-3,1030,1,3.56,0,0,148
1,16,17,-11,-4,1031,3,0.89,0,0,150
1,16,18,-12,-7,1031,1,0.89,0,0,154
1,16,19,-12,-7,1032,1,1.78,0,0,197
1,16,20,-12,-8,1032,1,2.23,0,0,235
1,16,21,-12,-9,1032,1,3.12,0,0,261
1,16,22,-13,-11,1032,2,0.89,0,0,269
1,16,23,-14,-11,1032,2,2.68,0,0,266
1,17,0,-15,-12,1032,2,5.81,0,0,263
1,17,1,-14,-11,1032,1,0.45,0,0,241
1,17,2,-14,-11,1031,1,1.34,0,0,205
1,17,3,-14,-12,1031,2,1.79,0,0,160
1,17,4,-14,-12,1031,2,3.58,0,0,150
1,17,5,-14,-10,1030,2,6.71,0,0,148
1,17,6,-14,-11,1030,2,9.84,0,0,208
1,17,7,-15,-10,1030,2,11.63,0,0,209
1,17,8,-13,-10,1030,2,14.76,0,0,183
1,17,9,-13,-8,1030,2,17.89,0,0,161
1,17,10,-12,-6,1030,1,0.45,0,0,182
1,17,11,-11,-5,1030,1,1.34,0,0,230
1,17,12,-11,-4,1029,1,2.23,0,0,170
1,17,13,-11,-3,1028,1,3.12,0,0,172
1,17,14,-10,-1,1027,1,4.01,0,0,154
1,17,15,-11,-1,1027,1,4.46,0,0,166
1,17,16,-10,-1,1026,0,0.89,0,0,177
1,17,17,-10,-3,1026,0,1.78,0,0,191
1,17,18,-10,-5,1027,0,2.67,0,0,212
1,17,19,-10,-6,1027,3,0.89,0,0,250
1,17,20,-11,-7,1027,1,0.45,0,0,268
1,17,21,-10,-7,1027,1,0.9,0,0,317
1,17,22,-11,-9,1027,1,1.35,0,0,291
1,17,23,-12,-9,1027,3,0.89,0,0,313
1,18,0,-12,-10,1028,1,0.89,0,0,282
1,18,1,-13,-11,1028,2,3.13,0,0,282
1,18,2,-11,-9,1028,2,4.92,0,0,303
1,18,3,-13,-10,1028,2,6.71,0,0,349
1,18,4,-13,-11,1028,2,7.6,0,0,407
1,18,5,-13,-11,1027,3,1.79,0,0,361
1,18,6,-14,-11,1028,2,0.89,0,0,234
1,18,7,-14,-11,1028,2,4.02,0,0,149
1,18,8,-14,-11,1028,2,5.81,0,0,147
1,18,9,-11,-6,1028,2,9.83,0,0,184
1,18,10,-10,-5,1028,2,11.62,0,0,161
1,18,11,-9,-3,1028,2,13.41,0,0,137
1,18,12,-8,-1,1027,2,15.2,0,0,146
1,18,13,-9,0,1026,2,16.99,0,0,144
1,18,14,-9,1,1025,3,1.79,0,0,154
1,18,15,-9,1,1025,1,0.89,0,0,173
1,18,16,-8,1,1025,0,0.89,0,0,188
1,18,17,-7,-1,1025,0,2.68,0,0,203
1,18,18,-7,-2,1025,1,0.89,0,0,233
1,18,19,-7,-3,1025,0,0.89,0,0,408
1,18,20,-5,-2,1026,1,0.89,0,0,435
1,18,21,-5,-1,1026,2,1.79,0,0,403
1,18,22,-5,-1,1026,2,3.58,0,0,360
1,18,23,-6,-1,1026,1,0.89,0,0,402
1,19,0,-4,-1,1025,2,1.79,0,0,358
1,19,1,-5,-1,1024,2,4.92,0,0,383
1,19,2,-5,-1,1024,2,6.71,0,0,332
1,19,3,-5,-1,1023,2,8.5,0,0,274
1,19,4,-4,-1,1022,2,10.29,0,0,256
1,19,5,-4,-1,1021,2,11.18,0,0,302
1,19,6,-4,-1,1021,2,12.07,0,0,330
1,19,7,-4,-1,1021,2,13.86,0,0,367
1,19,8,-4,0,1021,1,0.89,0,0,297
1,19,9,-4,0,1021,2,1.79,0,0,331
1,19,10,-4,0,1021,1,0.89,0,0,323
1,19,11,-5,1,1021,2,1.79,0,0,339
1,19,12,-5,1,1020,1,0.89,0,0,301
1,19,13,-4,1,1019,1,1.34,0,0,310
1,19,14,-4,1,1018,3,0.89,0,0,305
1,19,15,-3,2,1018,1,0.45,0,0,313
1,19,16,-3,2,1018,1,1.34,0,0,336
1,19,17,-2,2,1018,3,0.89,0,0,357
1,19,18,-3,1,1018,1,0.89,0,0,485
1,19,19,-3,2,1020,2,1.79,0,0,426
1,19,20,-3,1,1020,2,4.92,0,0,403
1,19,21,-3,0,1021,2,6.71,0,0,374
1,19,22,-3,0,1021,2,8.5,0,0,333
1,19,23,-3,1,1020,2,11.63,0,0,343
1,20,0,-2,0,1021,2,14.76,0,0,364
1,20,1,-2,-1,1022,2,16.55,0,0,389
1,20,2,-4,-2,1022,2,19.68,0,0,368
1,20,3,-2,-1,1023,2,25.49,0,0,267
1,20,4,-3,1,1023,2,28.62,0,0,71
1,20,5,-3,0,1024,2,31.75,0,0,81
1,20,6,-5,2,1026,2,36.67,0,0,51
1,20,7,-9,1,1027,2,41.59,0,0,49
1,20,8,-10,0,1028,2,48.74,0,0,44
1,20,9,-10,0,1030,2,55.89,0,0,45
1,20,10,-11,1,1032,2,63.04,0,0,35
1,20,11,-13,0,1033,2,71.09,0,0,29
1,20,12,-13,0,1033,2,78.24,0,0,27
1,20,13,-13,-1,1033,3,8.05,0,0,29
1,20,14,-13,-1,1032,2,7.15,0,0,16
1,20,15,-15,-1,1032,3,5.81,0,0,23
1,20,16,-14,-1,1033,2,5.81,0,0,28
1,20,17,-15,-2,1033,2,12.96,0,0,22
1,20,18,-16,-3,1034,2,21.01,0,0,11
1,20,19,-17,-4,1035,2,28.16,0,0,25
1,20,20,-19,-3,1036,2,37.99,0,0,16
1,20,21,-18,-4,1037,2,46.93,0,0,20
1,20,22,-19,-4,1038,2,55.87,0,0,20
1,20,23,-19,-5,1038,2,65.7,0,0,18
1,21,0,-20,-6,1038,2,75.53,0,0,18
1,21,1,-20,-6,1038,2,85.36,0,0,17
1,21,2,-20,-7,1038,2,95.19,0,0,17
1,21,3,-22,-8,1038,2,103.24,0,0,17
1,21,4,-23,-8,1038,2,111.29,0,0,15
1,21,5,-24,-9,1038,2,118.44,0,0,19
1,21,6,-24,-9,1038,2,128.27,0,0,16
1,21,7,-25,-9,1038,2,138.1,0,0,18
1,21,8,-25,-8,1039,2,147.04,0,0,18
1,21,9,-25,-8,1039,2,155.98,0,0,18
1,21,10,-22,-7,1039,2,160.9,0,0,26
1,21,11,-22,-7,1038,3,3.13,0,0,26
1,21,12,-22,-5,1037,2,4.02,0,0,25
1,21,13,-21,-5,1035,3,3.13,0,0,24
1,21,14,-21,-4,1034,0,1.79,0,0,15
1,21,15,-20,-3,1034,3,1.79,0,0,17
1,21,16,-21,-2,1033,2,4.92,0,0,15
1,21,17,-20,-2,1033,2,10.73,0,0,21
1,21,18,-20,-2,1034,2,15.65,0,0,40
1,21,19,-19,-3,1034,2,21.46,0,0,51
1,21,20,-19,-3,1035,2,25.48,0,0,45
1,21,21,-17,-8,1035,3,0.89,0,0,61
1,21,22,-18,-9,1035,2,1.79,0,0,72
1,21,23,-18,-9,1035,2,3.58,0,0,38
1,22,0,-18,-6,1036,2,7.6,0,0,35
1,22,1,-20,-4,1037,2,17.43,0,0,29
1,22,2,-21,-5,1037,2,27.26,0,0,26
1,22,3,-21,-6,1037,2,35.31,0,0,18
1,22,4,-20,-7,1036,2,42.46,0,0,15
1,22,5,-20,-7,1035,2,48.27,0,0,15
1,22,6,-20,-7,1035,2,54.08,0,0,22
1,22,7,-20,-7,1036,2,59,0,0,21
1,22,8,-19,-7,1036,2,63.92,0,0,19
1,22,9,-20,-5,1036,2,67.94,0,0,22
1,22,10,-19,-4,1036,2,75.09,0,0,25
1,22,11,-19,-4,1036,2,84.03,0,0,22
1,22,12,-19,-3,1035,2,95.21,0,0,26
1,22,13,-18,-3,1034,2,105.04,0,0,32
1,22,14,-19,-2,1033,2,114.87,0,0,30
1,22,15,-18,-2,1032,2,124.7,0,0,32
1,22,16,-18,-2,1032,2,133.64,0,0,30
1,22,17,-18,-2,1032,2,139.45,0,0,32
1,22,18,-18,-3,1032,2,144.37,0,0,37
1,22,19,-17,-5,1033,2,149.29,0,0,49
1,22,20,-18,-4,1033,2,153.31,0,0,47
1,22,21,-17,-4,1032,2,159.12,0,0,39
1,22,22,-17,-4,1032,2,164.04,0,0,35
1,22,23,-17,-7,1032,2,168.06,0,0,48
1,23,0,-17,-4,1033,2,172.08,0,0,49
1,23,1,-17,-8,1033,1,0.89,0,0,24
1,23,2,-17,-5,1032,2,4.92,0,0,23
1,23,3,-18,-6,1032,2,8.05,0,0,20
1,23,4,-18,-5,1031,2,12.97,0,0,19
1,23,5,-18,-6,1031,2,16.1,0,0,16
1,23,6,-18,-7,1031,2,20.12,0,0,22
1,23,7,-18,-7,1031,2,24.14,0,0,24
1,23,8,-18,-6,1031,2,25.93,0,0,24
1,23,9,-18,-2,1031,2,30.85,0,0,41
1,23,10,-17,-1,1031,2,38.9,0,0,23
1,23,11,-17,0,1030,2,46.95,0,0,19
